永續性有機汙染物	持久性有機汙染物
郵遞區號程式碼	郵遞區號代碼
宣告承受訴訟	聲明承受訴訟
民事訴訟程式	民事訴訟程序
刑事訴訟程式	刑事訴訟程序
正當法律程式	正當法律程序
標準操作程式	標準操作程序
高階管理人員	高級管理人員
身份證明檔案	身份證明文件
永續性汙染物	持久性汙染物
準予假扣押	准予假扣押
準予假處分	准予假處分
準予假執行	准予假執行
係爭不動產	系爭不動產
被保險物件	被保險對象
管轄許可權	管轄權限
超越許可權	超越權限
許可權範圍	權限範圍
高階檢察署	高級檢察署
新聞釋出會	新聞發布會
司法院釋出	司法院發布
行政院釋出	行政院發布
規範性檔案	規範性文件
迴圈再利用	循環再利用
全域性利益	全局利益
全域性考慮	全局考慮
全域性觀念	全局觀念
區域性調整	局部調整
區域性利益	局部利益
區域性修改	局部修改
區域性地區	局部地區
正規化轉移	範式轉移
科學正規化	科學範式
社會正規化	社會範式
思維正規化	思維範式
材料永續性	材料持久性
建築永續性	建築持久性
國家程式碼	國家代碼
區域程式碼	區域代碼
郵政程式碼	郵政代碼
電話程式碼	電話代碼
行業程式碼	行業代碼
銀行程式碼	銀行代碼
請準宣告	請准宣告
準許原告	准許原告
準許被告	准許被告
準許聲請	准許聲請
係爭土地	系爭土地
係爭契約	系爭契約
係爭房屋	系爭房屋
係爭建物	系爭建物
係爭債權	系爭債權
係爭款項	系爭款項
係爭標的	系爭標的
係爭專利	系爭專利
係爭商標	系爭商標
係爭股份	系爭股份
係爭金額	系爭金額
係爭保單	系爭保單
訴之宣告	訴之聲明
宣告異議	聲明異議
宣告不服	聲明不服
宣告承受	聲明承受
免責宣告	免責聲明
宣告事項	聲明事項
權利宣告	權利聲明
隱私宣告	隱私聲明
訴訟程式	訴訟程序
行政程式	行政程序
法定程式	法定程序
正當程式	正當程序
執行程式	執行程序
破產程式	破產程序
仲裁程式	仲裁程序
調解程式	調解程序
審理程式	審理程序
上訴程式	上訴程序
抗告程式	抗告程序
簡易程式	簡易程序
通常程式	通常程序
調查程式	調查程序
審批程式	審批程序
立法程式	立法程序
司法程式	司法程序
選舉程式	選舉程序
招標程式	招標程序
